id_product|name|price|city|promo_price|URL
3227060|Игрушка мягкая FurReal Friends Шаловливый питомец Собака большая E89455L0|None|Moscow /  Spb |2599|https://www.detmir.ru/product/index/id/3227060/
3935548|Подушка для путешествий Laffi Динозавр MF992723-C|799|Moscow /  Spb |1299|https://www.detmir.ru/product/index/id/3935548/
3192696|Игрушка мягкая Мульти Пульти Три Кота Карамелька 279284|None|Moscow /  Spb |1399|https://www.detmir.ru/product/index/id/3192696/
4664465|Мягкая игрушка BalaToys Хаги Ваги|399|None|1735|https://www.detmir.ru/product/index/id/4664465/
3684936|Игрушка FurReal Friends Питомец Кикки Малыш-Касатка F25985L0|3299|Moscow /  Spb |4199|https://www.detmir.ru/product/index/id/3684936/
2815611|Мягкая игрушка Aurora Единорог(30637W)|899|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/2815611/
3162103|Игрушка мягкая Мульти Пульти Спокойной ночи малыши Хрюша 241136|569|Moscow /  Spb |1899|https://www.detmir.ru/product/index/id/3162103/
3454209|Игрушка мягкая Кошечки-собачки Мия 38347|749|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/3454209/
4753731|Игрушка мягкая ВД трейд Хаги Ваги 1050-118|1999|Moscow /  Spb |2999|https://www.detmir.ru/product/index/id/4753731/
3689915|Игрушка мягконабивная Laffi Корги лежебока Д80 6217S/КЧ/80|1599|Moscow /  Spb |3199|https://www.detmir.ru/product/index/id/3689915/
3454142|Игрушка мягкая Кошечки-собачки Буся 38343|749|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/3454142/
3749036|Игрушка FurReal Friends Питомец на поводке Гламурный Щенок F26015L0|None|Moscow /  Spb |3299|https://www.detmir.ru/product/index/id/3749036/
3192687|Игрушка мягкая Мульти Пульти Деревяшки Поросенок Хрю 268435|329|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/3192687/
4535001|Мягкая игрушка Panawealth International Хагги Вагги - 2 шт 38 см голубой и розовый|629|None|699|https://www.detmir.ru/product/index/id/4535001/
3525072|Игрушка мягкая Disney Мини Маус TC-6222|1729|Moscow /  Spb |1999|https://www.detmir.ru/product/index/id/3525072/
3122113|Игрушка мягкая Laffi Лама Розовая 5259|459|Moscow /  Spb |599|https://www.detmir.ru/product/index/id/3122113/
3201179|Игрушка Chi Chi Love Собачка с сумочкой 5893346|2689|Moscow /  Spb |4489|https://www.detmir.ru/product/index/id/3201179/
4491819|Подушка-игрушка Dormeo «Совиная Семья» Сын с пледом|1799|None|2903|https://www.detmir.ru/product/index/id/4491819/
3162100|Игрушка мягкая Мульти Пульти Буба 273274|1349|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3162100/
3122109|Игрушка мягкая Laffi Единорог Розовый 5224|1799|Moscow /  Spb |2299|https://www.detmir.ru/product/index/id/3122109/
2815641|Мягкая игрушка Aurora Щенок померанского шпица|799|Moscow /  Spb |1299|https://www.detmir.ru/product/index/id/2815641/
3174018|Игрушка мягкая Aurora Панда 181379B|1099|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3174018/
3655249|Интерактивная игрушка ДРУГ ЕНОТ с радиосвязью|6999|None|9589|https://www.detmir.ru/product/index/id/3655249/
2815391|Мягкая игрушка Aurora Медведь|599|Moscow /  Spb |799|https://www.detmir.ru/product/index/id/2815391/
4483534|Набор игровой FurReal Friends Ролли в непрозрачной упаковке (Сюрприз) F35195L4|None|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/4483534/
2815711|Мягкая игрушка Aurora Персидский кот(30883A)|599|Moscow /  Spb |999|https://www.detmir.ru/product/index/id/2815711/
3158463|Игрушка мягкая Aurora Единорог 180438G|999|Moscow /  Spb |1599|https://www.detmir.ru/product/index/id/3158463/
3856452|Игрушка мягконабивная Мульти Пульти Буба в галстуке бабочке 303955|999|Moscow /  Spb |1799|https://www.detmir.ru/product/index/id/3856452/
2815751|Мягкая игрушка Aurora Ежик(31609A)|699|Moscow /  Spb |999|https://www.detmir.ru/product/index/id/2815751/
3959823|Игрушка Мой питомец Синди Кузнецова 313403|2589|Moscow /  Spb |4299|https://www.detmir.ru/product/index/id/3959823/
4615174|Игрушка Ball Masquerade Lalafanfan Собачка 19022022|899|Moscow /  Spb |1299|https://www.detmir.ru/product/index/id/4615174/
3344392|Игрушка мягкая Мой питомец Щенок Джой интерактивный 295827|1390|Moscow /  Spb |2799|https://www.detmir.ru/product/index/id/3344392/
3030196|Игрушка мягкая Маша и Медведь Маша в нарядном платье 252911|809|Moscow /  Spb |1199|https://www.detmir.ru/product/index/id/3030196/
2815911|Мягкая игрушка Aurora Сурикат|499|Moscow /  Spb |799|https://www.detmir.ru/product/index/id/2815911/
2829851|Мягкая игрушка Aurora Кролик|799|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/2829851/
3158466|Игрушка мягкая Aurora Фламинго Персиковый 180438K|999|Moscow /  Spb |1599|https://www.detmir.ru/product/index/id/3158466/
3158465|Игрушка мягкая Aurora Слон Голубой 180438J|999|Moscow /  Spb |1599|https://www.detmir.ru/product/index/id/3158465/
3195482|Игрушка FurReal Friends Тигренок на поводке E5309EU4|2999|Moscow /  Spb |3199|https://www.detmir.ru/product/index/id/3195482/
2815341|Игрушка мягкая Aurora Медведь 131477B|1299|Moscow /  Spb |1799|https://www.detmir.ru/product/index/id/2815341/
2829651|Мягкая игрушка Aurora Кролик с колечком|699|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/2829651/
3525069|Игрушка мягкая Disney Микки Маус TC-6215|1379|Moscow /  Spb |1799|https://www.detmir.ru/product/index/id/3525069/
4664466|Мягкая игрушка BalaToys Киси Миси|399|None|1735|https://www.detmir.ru/product/index/id/4664466/
3755050|Игрушка мягкая Мульти Пульти Буба в красной рубашке 299954|923|Moscow /  Spb |1729|https://www.detmir.ru/product/index/id/3755050/
3122111|Игрушка мягкая Laffi Единорог с крыльями Розовый 5239|939|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3122111/
2762441|Мягкая игрушка Laffi Медвежонок кремовый 85см|1399|Moscow /  Spb |2699|https://www.detmir.ru/product/index/id/2762441/
3228629|Игрушка Zuru Rainbocorns S001 Сладкий шейк в непрозрачной упаковке (Сюрприз) 9212-S001|2999|Moscow /  Spb |4999|https://www.detmir.ru/product/index/id/3228629/
4534998|Мягкая игрушка Panawealth International Уточка Лалафанфан желтый с очками и аксессуарами|629|None|699|https://www.detmir.ru/product/index/id/4534998/
4484894|Игрушка Мой питомец Керри Пляцковский 326483|2169|Moscow /  Spb |3999|https://www.detmir.ru/product/index/id/4484894/
2815471|Мягкая игрушка Aurora Бигль|479|Moscow /  Spb |699|https://www.detmir.ru/product/index/id/2815471/
3454175|Игрушка мягкая Кошечки-собачки Дэн 38345|719|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/3454175/
3158476|Игрушка мягкая Aurora Чихуахуа в сумке-переноске 151181L|999|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3158476/
3766078|Игрушка мягкая Gund Скай 6056293|None|Moscow / |2299|https://www.detmir.ru/product/index/id/3766078/
3584031|Игрушка мягкая Aurora Корги 191384A|599|Moscow /  Spb |899|https://www.detmir.ru/product/index/id/3584031/
3877371|Игрушка Мой питомец Щенок Джесика Кузнецова 314053|2072|Moscow /  Spb |4499|https://www.detmir.ru/product/index/id/3877371/
4483536|Набор игровой FurReal Friends Рокалот F35075L0|2999|Moscow /  Spb |3299|https://www.detmir.ru/product/index/id/4483536/
3877376|Игрушка Мой питомец Щенок Бетти Пляцковский М.С. 314054|1805|Moscow /  Spb |3999|https://www.detmir.ru/product/index/id/3877376/
3227064|Игрушка FurReal Friends Шаловливый питомец Кошка малая E89525L0|None|Moscow /  Spb |1299|https://www.detmir.ru/product/index/id/3227064/
2815701|Игрушка мягкая Aurora Кошка Белая|599|Moscow /  Spb |899|https://www.detmir.ru/product/index/id/2815701/
4491437|Подушка-игрушка Dormeo Сова с пледом Шу-Шу|1999|None|3389|https://www.detmir.ru/product/index/id/4491437/
